impcParameterOrigId,parameter_name,description,parameter_id
27608,Vascular System,Vascular System,IMPC_ALZ_041_001
27609,Urinary bladder,Urinary Bladder,IMPC_ALZ_042_001
27610,Bone,Bone,IMPC_ALZ_043_001
27611,Cecum,Cecum,IMPC_ALZ_044_001
27612,Colon,Colon,IMPC_ALZ_045_001
27613,Duodenum,Duodenum,IMPC_ALZ_046_001
27614,Ileum,Ileum,IMPC_ALZ_047_001
27615,Jejunum,Jejunum,IMPC_ALZ_048_001
27616,Gonadal fat pad,Adipose Gonad,IMPC_ALZ_049_001
27617,Bone  Marrow,Bone Marrow,IMPC_ALZ_050_001
27618,Vas Deferens,Vas Deferens,IMPC_ALZ_051_001
27619,Brown adipose tissue,Adipose Brown,IMPC_ALZ_052_001
27620,Mesenteric adipose tissue,Adipose Mesenteric,IMPC_ALZ_053_001
27621,Blood,Blood Smear,IMPC_ALZ_054_001
27622,Diaphragm,Diaphragm,IMPC_ALZ_055_001
27623,Gall Bladder,Gall Bladder,IMPC_ALZ_056_001
27624,Harderian Gland,Hardarian Gland,IMPC_ALZ_057_001
27625,Hindlimb,Hind Limb,IMPC_ALZ_058_001
27626,Quadriceps,Muscle Quad,IMPC_ALZ_059_001
27627,Parathyroid gland,Parathyroid,IMPC_ALZ_060_001
27628,Parotid gland,Parotid Gland,IMPC_ALZ_061_001
27629,Penis,Penis,IMPC_ALZ_062_001
27630,Stomach pyloric region,Pylorus,IMPC_ALZ_063_001
27631,Chest bone,Ribcage,IMPC_ALZ_064_001
27632,Sciatic nerve,Sciatic Nerve Quad,IMPC_ALZ_065_001
27633,Cranium,Skull,IMPC_ALZ_066_001
27634,Sublingual Gland,Sublingual Gland,IMPC_ALZ_067_001
27635,Submandibular Gland,Submandibular Gland,IMPC_ALZ_068_001
27636,Tongue,Tongue,IMPC_ALZ_069_001
27637,Trigeminal V nerve,Trigeminal Nerve,IMPC_ALZ_070_001
27638,Vagina,Vagina,IMPC_ALZ_071_001
27639,Vesicular Gland,Vesicular Gland,IMPC_ALZ_072_001
27640,Mesenteric Lymph Node,Mesenteric Lymph Node,IMPC_ALZ_073_001
27641,Oral epithelium,Oral Epithelia,IMPC_ALZ_074_001
27642,LacZ Images Section,Lacz Images Section,IMPC_ALZ_075_001
27643,LacZ Images Wholemount,Lacz Images Wholemount,IMPC_ALZ_076_001
27644,Free Ontology,Free Ontology,IMPC_ALZ_077_001
27645,Free Ontology Annotation reason,Free Ontology Annotation Reason,IMPC_ALZ_078_001
27646,Free text comment,Free Text Comment,IMPC_ALZ_079_001
27647,Microscope equipment id,Microscope Equipment Id,IMPC_ALZ_080_001
27648,Microscope equipment manufacturer,Microscope Equipment Manufacturer,IMPC_ALZ_081_001
27649,Microscope equipment model,Microscope Equipment Model,IMPC_ALZ_082_001
27650,Date Microscope last calibrated,Date Microscope Last Calibrated,IMPC_ALZ_083_001
27651,Detector equipment manufacturer,Detector Equipment Manufacturer,IMPC_ALZ_084_001
27652,Detector equipment model,Detector Equipment Model,IMPC_ALZ_085_001
27653,Objective equipment company,Objective Equipment Company,IMPC_ALZ_086_001
27654,Objective equipment model,Objective Equipment Model,IMPC_ALZ_087_001
27655,Objective magnification,Objective Magnification,IMPC_ALZ_088_001
27656,Illumination source manufacturer,Illumination Source Manufacturer,IMPC_ALZ_089_001
27657,Illumination source model,Illumination Source Model,IMPC_ALZ_090_001
27658,Sample preparation stain name,Sample Preparation Stain Name,IMPC_ALZ_091_001
27659,Sample preparation reference impc,Sample Preparation Reference Impc,IMPC_ALZ_092_001
27660,Bit Depth,Bit Depth,IMPC_ALZ_093_001
27661,Colorspace,Colorspace,IMPC_ALZ_094_001
27662,Experimental category,Experimental Category,IMPC_ALZ_095_001
27663,Orientation,Orientation,IMPC_ALZ_096_001
27664,Pixels per millimeter before processing,Pixels Per Millimeter Before Processing,IMPC_ALZ_097_001
27665,Pixels per millimeter after processing,Pixels Per Millimeter After Processing,IMPC_ALZ_098_001
27666,Showcase image,Showcase Image,IMPC_ALZ_099_001
27667,Date of Sacrifice,Date Of Sacrifice,IMPC_ALZ_100_001
27668,Date of Perfusion,Date Of Perfusion,IMPC_ALZ_101_001
27669,Epididymis,"",IMPC_ALZ_102_001
27670,Main olfactory bulb,"",IMPC_ALZ_103_001
27671,Midbrain,"",IMPC_ALZ_104_001
27672,Thalamus,"",IMPC_ALZ_105_001
44496,Alive,Alive,IMPC_GEO_001_001
44497,Scored,Scored,IMPC_GEO_002_001
44498,Cardiovascular System,Cardiovascular System,IMPC_GEO_003_001
44499,Cardiovascular Development,Cardiovascular Development,IMPC_GEO_004_001
44500,Heart Development,Heart Development,IMPC_GEO_005_001
44501,Outflow tract development,Outflow Tract Development,IMPC_GEO_006_001
44502,Heart Morphology,Heart Morphology,IMPC_GEO_008_001
44503,Blood Vessel Morphology,Blood Vessel Morphology,IMPC_GEO_011_001
44504,Developmental Vascular Remodelling,Developmental Vascular Remodelling,IMPC_GEO_012_001
44505,Craniofacial,Craniofacial,IMPC_GEO_013_001
44506,Craniofacial Development,Craniofacial Development,IMPC_GEO_014_001
44507,Head shape,Head Shape,IMPC_GEO_015_001
44508,Head size,Head Size,IMPC_GEO_016_001
44509,Embryo Size,Embryo Size,IMPC_GEO_019_001
44510,Body wall morphology,Body Wall Morphology,IMPC_GEO_020_001
44511,Hearing/Vestibular/Ear,Hearing Vestibular Ear,IMPC_GEO_021_001
44512,Ear Morphology,Abnormal Ear Morphology,IMPC_GEO_022_001
44513,Ear Development,Ear Development,IMPC_GEO_023_001
44514,Homeostasis/metabolism,Homeostasis Metabolism,IMPC_GEO_024_001
44515,Integument,Integument,IMPC_GEO_027_001
44516,Vibrissa Morphology,Vibrissa Morphology,IMPC_GEO_028_001
44517,Skin Appearance,Skin Appearance,IMPC_GEO_029_001
44518,Skin Coloration,Skin Coloration,IMPC_GEO_030_001
44519,Limb Bud Morphology,Limb Bud Morphology,IMPC_GEO_031_001
44520,Limb Plate Morphology,Limb Plate Morphology,IMPC_GEO_032_001
44521,Tail Morphology,Tail Morphology,IMPC_GEO_033_001
44522,Liver/Biliary,Liver Biliary,IMPC_GEO_035_001
44523,Liver Morphology,Liver Morphology,IMPC_GEO_036_001
44524,Liver Size,Liver Size,IMPC_GEO_037_001
44525,Nervous System,Nervous System,IMPC_GEO_039_001
44526,Brain Development,Brain Development,IMPC_GEO_040_001
44527,Vision/Eye,Vision Eye,IMPC_GEO_044_001
44528,Eye Morphology,Eye Morphology,IMPC_GEO_045_001
44529,Eye Size,Eye Size,IMPC_GEO_046_001
44530,Comment on image,Comment On Image,IMPC_GEO_049_001
44531,Images,Images,IMPC_GEO_050_001
44532,Experimenter ID,Experimenter Id,IMPC_GEO_051_001
44533,Equipment ID,Equipment Id,IMPC_GEO_052_001
44534,Equipment Manufacturer,Equipment Manufacturer,IMPC_GEO_053_001
44535,Equipment Model,Equipment Model,IMPC_GEO_054_001
44536,Fixative,Fixative,IMPC_GEO_055_001
44537,Time of Dissection,Time Of Dissection,IMPC_GEO_056_001
44538,Somite Stage,Somite Stage,IMPC_GEO_057_001
44539,Time of dark cycle start,Time Of Dark Cycle Start,IMPC_GEO_058_001
44540,Time of dark cycle end,Time Of Dark Cycle End,IMPC_GEO_059_001
44541,Date equipment last calibrated,Date Equipment Last Calibrated,IMPC_GEO_060_001
44542,Absent heartbeat,Absent Heartbeat,IMPC_GEO_007_002
44543,Hemorrhage,Hemorrhage,IMPC_GEO_009_002
44544,Skin Hemorrhage,Skin Hemorrhage,IMPC_GEO_010_002
44545,Facial Cleft,Facial Cleft,IMPC_GEO_017_002
44546,Cleft Palate,Cleft Palate,IMPC_GEO_018_002
44547,Hydrops fetalis (fetal adema),Hydrops Fetalis Fetal Adema,IMPC_GEO_025_002
44548,Gastroschisis (herniated abdominal wall),Gastroschisis Herniated Abdominal Wall,IMPC_GEO_026_002
44549,Polydactyly,Polydactyly,IMPC_GEO_034_002
44550,Pale Liver,Pale Liver,IMPC_GEO_038_002
44551,Exencephaly,Exencephaly,IMPC_GEO_041_002
44552,Holoprosencephaly,Holoprosencephaly,IMPC_GEO_042_002
44553,spina bifida,Spina Bifida,IMPC_GEO_043_002
44554,Microphthalmia,Microphthalmia,IMPC_GEO_047_002
44555,Anophthalmia,Anophthalmia,IMPC_GEO_048_002
44556,Severely Dysmorphic,"",IMPC_GEO_061_001
36688,Outcome,"",IMPC_EVP_001_001
36689,Decision,"",IMPC_EVP_002_001
36690,Comment on Decision (in English),"",IMPC_EVP_003_001
36691,Total embryos,"",IMPC_EVP_004_001
36692,Total embryos heterozygous,"",IMPC_EVP_005_001
36693,Total embryos homozygous,"",IMPC_EVP_006_001
36694,Total dead embryos,"",IMPC_EVP_007_001
36695,Total dead WT,"",IMPC_EVP_008_001
36696,Total dead heterozygous,"",IMPC_EVP_009_001
36697,Total dead homozygous,"",IMPC_EVP_010_001
36698,Total gross defect at dissection (alive or dead) embryos,"",IMPC_EVP_011_001
36699,Total gross defect at dissection (alive or dead) WT,"",IMPC_EVP_012_001
36700,Total gross defect at dissection (alive or dead) heterozygous,"",IMPC_EVP_013_001
36701,Total gross defect at dissection (alive or dead) homozygous,"",IMPC_EVP_014_001
36702,Number of reabsorptions,"",IMPC_EVP_015_001
36703,Average Litter Size,"",IMPC_EVP_016_001
36704,% embryos WT,"",IMPC_EVP_017_001
36705,% embryos heterozygous,"",IMPC_EVP_018_001
36706,% embryos homozygous,"",IMPC_EVP_019_001
36707,Time of dark cycle start,"",IMPC_EVP_020_001
36708,Time of dark cycle end,"",IMPC_EVP_021_001
36709,Embryo medium,"",IMPC_EVP_022_001
36710,Total embryos WT,"",IMPC_EVP_023_001
36711,Total live embryos,"",IMPC_EVP_024_001
36712,Total live heterozygous,"",IMPC_EVP_025_001
36713,Total live WT,"",IMPC_EVP_026_001
36714,Total live homozygous,"",IMPC_EVP_027_001
89677,Pipeline ID(s),Pipeline Ids Applicable To Housing Conditions,IMPC_HOU_003_002
89678,Date effective from,Date Effective From,IMPC_HOU_004_002
89679,Date effective until,Date Effective Until,IMPC_HOU_005_002
89680,Housing - temperature regulated,Housing Temperature Regulated,IMPC_HOU_009_001
89681,Housing - temperature range,Housing Temperature Range,IMPC_HOU_068_001
89682,Housing - relative humidity regulated,Housing Relative Humidity Regulated,IMPC_HOU_012_001
89683,Housing - relative humidity range,Housing Relative Humidity Range,IMPC_HOU_069_001
89684,Housing - ventilation managed,Housing Ventilation Managed,IMPC_HOU_015_001
89685,Housing - air changes per hour in the room (range),Housing Air Changes Per Hour In The Room Range,IMPC_HOU_070_001
89686,Housing - IVC ventilation,Housing Ivc Ventilation,IMPC_HOU_019_001
89687,Housing - air changes per hour in the IVC unit (range),Housing Ivc Ventilation Managed,IMPC_HOU_071_001
89688,Housing - light source,Housing Light Source,IMPC_HOU_023_001
89689,Housing - light intensity (range),Housing Light Intensity Range,IMPC_HOU_072_001
89690,Housing - time lights switched on,Housing Time Lights Switched On,IMPC_HOU_027_001
89691,Housing - time lights switched off,Housing Time Lights Switched Off,IMPC_HOU_028_001
89692,Housing - cage manufacturer,Housing Cage Manufacturer,IMPC_HOU_073_001
89693,Housing - cage model,Housing Cage Model,IMPC_HOU_074_001
89694,Housing - Racking system manufacturer,Housing Rack System Manufacturer,IMPC_HOU_075_001
89695,Housing - cage dimensions (L x W x H in mm),Housing Cage Dimensions Lxwxh,IMPC_HOU_076_001
89696,Housing - animals per cage - Female maximum,Housing Female Animals Per Cage Max,IMPC_HOU_077_001
89697,Housing - animals per cage - Female minimum,Housing Female Animals Per Cage Min,IMPC_HOU_078_001
89698,Housing - animals per cage - Male maximum,Housing Male Animals Per Cage Max,IMPC_HOU_079_001
89699,Housing - animals per cage - Male minimum,Housing Male Animals Per Cage Min,IMPC_HOU_080_001
89700,Housing - bedding type,Housing Bedding Type,IMPC_HOU_035_002
89701,Housing - bedding pre-treatment,Housing Bedding Pre Treatment,IMPC_HOU_036_001
89702,Housing - cage enrichment,Housing Cage Enrichment,IMPC_HOU_037_002
89703,Housing - frequency of cage cleaning,Housing Frequency Of Cage Cleaning,IMPC_HOU_038_001
89704,Housing - frequency of handling (excluding phenotyping),Housing Frequency Of Handling,IMPC_HOU_039_002
89705,Housing - frequency of animal welfare assessments,Housing Frequency Of Animal Welfare Assessments,IMPC_HOU_081_001
89706,Nutrition - supplier of diet,Nutrition Diet Supplier,IMPC_HOU_082_001
89707,Nutrition - product ID of diet,Nutrition Product Id,IMPC_HOU_083_001
89708,Nutrition - diet type,Nutrition Diet Type,IMPC_HOU_041_001
89709,Nutrition - average composition (based on mass) - Carbohydrate,Nutrition Average Composition Based On Mass Carbohydrate,IMPC_HOU_043_002
89710,Nutrition - average composition (based on mass) - Fat,Nutrition Average Composition Based On Mass Fat,IMPC_HOU_044_002
89711,Nutrition - average composition (based on mass) - Protein,Nutrition Average Composition Based On Mass Protein,IMPC_HOU_045_002
89712,Nutrition - feeding regime (excluding fasting periods),Nutrition Feeding Regime Excluding Fasting Periods,IMPC_HOU_050_001
89713,Nutrition - source of lipids,Nutrition Source Of Lipids,IMPC_HOU_051_002
89714,Water - pre-treatment,Water Pre Treatment,IMPC_HOU_053_002
89715,Water - schedule (quantity),Water Schedule Quantity,IMPC_HOU_054_001
89716,Water - supply method,Water Supply Method,IMPC_HOU_055_001
89717,Microbiological status - status of your centre,Microbiological Status Status Of Your Centre,IMPC_HOU_056_001
89718,Microbiological status - pathogens testing frequency,Microbiological Testing Frequency,IMPC_HOU_084_001
89719,Phenotyping lifestage,Phenotyping Lifestage,IMPC_HOU_085_001
89720,Water - quality monitored,Water Quality Monitored,IMPC_HOU_052_001
90854,Submission Identifier,"",IMPC_HOU_086_001
44811,Alive,Alive,IMPC_GEP_001_001
44812,Scored,Scored,IMPC_GEP_002_001
44813,Behavior/neurological,Behavior Neurological,IMPC_GEP_003_001
44814,Cardiovascular System,Cardiovascular System,IMPC_GEP_006_001
44815,Cardiovascular Development,Cardiovascular Development,IMPC_GEP_007_001
44816,Heart Development,Heart Development,IMPC_GEP_008_001
44817,Outflow tract development,Outflow Tract Development,IMPC_GEP_009_001
44818,Heart Morphology,Heart Morphology,IMPC_GEP_010_001
44819,Blood Vessel Morphology,Blood Vessel Morphology,IMPC_GEP_013_001
44820,Craniofacial,Craniofacial,IMPC_GEP_014_001
44821,Head shape,Head Shape,IMPC_GEP_015_001
44822,Head size,Head Size,IMPC_GEP_016_001
44823,Facial Morphology,Facial Morphology,IMPC_GEP_017_001
44824,Digestive/alimentary,Digestive Alimentary,IMPC_GEP_020_001
44825,Digestive System Morphology,Digestive System Morphology,IMPC_GEP_021_001
44826,Embryo Size,Embryo Size,IMPC_GEP_022_001
44827,Embryo weight,Embryo Weight,IMPC_GEP_023_001
44828,Body wall morphology,Body Wall Morphology,IMPC_GEP_024_001
44829,Hearing/Vestibular/Ear,Hearing Vestibular Ear,IMPC_GEP_025_001
44830,Outer ear morpholgy,Outer Ear Morpholgy,IMPC_GEP_026_001
44831,Ear Development,Ear Development,IMPC_GEP_027_001
44832,Homeostasis/metabolism,Homeostasis Metabolism,IMPC_GEP_028_001
44833,Integument,Integument,IMPC_GEP_032_001
44834,Vibrissa Morphology,Vibrissa Morphology,IMPC_GEP_033_001
44835,Skin Appearance,Skin Appearance,IMPC_GEP_034_001
44836,Skin Coloration,Skin Coloration,IMPC_GEP_036_001
44837,Limb Morphology,Limb Morphology,IMPC_GEP_037_001
44838,Tail Morphology,Tail Morphology,IMPC_GEP_038_001
44839,Liver/Biliary,Liver Biliary,IMPC_GEP_040_001
44840,Liver Morphology,Liver Morphology,IMPC_GEP_041_001
44841,Liver Size,Liver Size,IMPC_GEP_042_001
44842,Muscle,Muscle,IMPC_GEP_043_001
44843,Diaphragm Morphology,Diaphragm Morphology,IMPC_GEP_044_001
44844,Nervous System,Nervous System,IMPC_GEP_045_001
44845,Brain Development,Brain Development,IMPC_GEP_046_001
44846,Renal/Urinary,Renal Urinary,IMPC_GEP_050_001
44847,Kidney,Kidney,IMPC_GEP_051_001
44848,Respiratory System,Respiratory System,IMPC_GEP_052_001
44849,Lung Morphology,Lung Morphology,IMPC_GEP_053_001
44850,Lung Development,Lung Development,IMPC_GEP_054_001
44851,Vision/Eye,Vision Eye,IMPC_GEP_056_001
44852,Eye Morphology,Eye Morphology,IMPC_GEP_057_001
44853,Eye Size,Eye Size,IMPC_GEP_058_001
44854,Number of cervical vertebrae,Number Of Cervical Vertebrae,IMPC_GEP_062_001
44855,Comment on image,Comment On Image,IMPC_GEP_063_001
44856,Images,Images,IMPC_GEP_064_001
44857,Experimenter ID,Experimenter Id,IMPC_GEP_065_001
44858,Equipment ID,Equipment Id,IMPC_GEP_066_001
44859,Equipment Manufacturer,Equipment Manufacturer,IMPC_GEP_067_001
44860,Equipment Model,Equipment Model,IMPC_GEP_068_001
44861,Fixative,Fixative,IMPC_GEP_069_001
44862,Time of Dissection,Time Of Dissection,IMPC_GEP_070_001
44863,Somite Stage,Somite Stage,IMPC_GEP_071_001
44864,Time of dark cycle start,Time Of Dark Cycle Start,IMPC_GEP_072_001
44865,Time of dark cycle end,Time Of Dark Cycle End,IMPC_GEP_073_001
44866,Date equipment last calibrated,Date Equipment Last Calibrated,IMPC_GEP_074_001
44867,Spontaneous movement,No Spontaneous Movement,IMPC_GEP_004_002
44868,Responsive to tactile stimuli,Unresponsive To Tactile Stimuli,IMPC_GEP_005_002
44869,Hemorrhage,Hemorrhage,IMPC_GEP_011_002
44870,Skin Hemorrhage,Skin Hemorrhage,IMPC_GEP_012_002
44871,Facial Cleft,Facial Cleft,IMPC_GEP_018_002
44872,Cleft Palate,Cleft Palate,IMPC_GEP_019_002
44873,Cyanosis,Cyanosis,IMPC_GEP_029_002
44874,Edema,Edema,IMPC_GEP_030_002
44875,Hydrops fetalis (fetal adema),Hydrops Fetalis Fetal Adema,IMPC_GEP_031_002
44876,Pallor,Pallor,IMPC_GEP_035_002
44877,Polydactyly,Polydactyly,IMPC_GEP_039_002
44878,Exencephaly,Exencephaly,IMPC_GEP_047_002
44879,Holoprosencephaly,Holoprosencephaly,IMPC_GEP_048_002
44880,spina bifida,Spina Bifida,IMPC_GEP_049_002
44881,Respiratory Failure,Respiratory Failure,IMPC_GEP_055_002
44882,Microphthalmia,Microphthalmia,IMPC_GEP_059_002
44883,Anophthalmia,Anophthalmia,IMPC_GEP_060_002
44884,Failure of Eyelid Fusion,Failure Of Eyelid Fusion,IMPC_GEP_061_002
44885,Severely Dysmorphic,"",IMPC_GEP_075_001
73074,Embryo reconstruction,"",IMPC_EMA_001_001
73075,Experimenter ID,"",IMPC_EMA_002_001
73076,Equipment ID,"",IMPC_EMA_003_001
73077,Equipment Manufacturer,"",IMPC_EMA_004_001
73078,Equipment Model,"",IMPC_EMA_005_001
73079,Equipment Version,"",IMPC_EMA_006_001
73080,Image Pixel Size,"",IMPC_EMA_007_001
73081,E18.5 MicroCT Preparation protocol,"",IMPC_EMA_008_001
73082,Date equipment last calibrated,"",IMPC_EMA_009_001
73083,Date of Sacrifice,"",IMPC_EMA_010_001
73084,Date Preparation Finished,"",IMPC_EMA_011_001
73085,Date of Scan,"",IMPC_EMA_012_001
73086,Source Voltage,"",IMPC_EMA_013_001
73087,Source Current,"",IMPC_EMA_014_001
73088,Object to Source,"",IMPC_EMA_015_001
73089,Camera to Source,"",IMPC_EMA_016_001
73090,Screenshots,"",IMPC_EMA_017_001
73091,Limb digits,"",IMPC_EMA_018_001
73092,Tail,"",IMPC_EMA_019_001
73093,Limbs,"",IMPC_EMA_020_001
73094,Pinna,"",IMPC_EMA_021_001
73095,Vibrissa,"",IMPC_EMA_022_001
73096,Edema,"",IMPC_EMA_023_001
73097,Embryo size,"",IMPC_EMA_024_001
73098,Spinal Cord,"",IMPC_EMA_025_001
73099,Spine curvature,"",IMPC_EMA_026_001
73100,Craniofacial morphology,"",IMPC_EMA_027_001
73101,Hindbrain subarachnoid space,"",IMPC_EMA_028_001
73102,Midbrain roof plate,"",IMPC_EMA_029_001
73103,Midbrain,"",IMPC_EMA_030_001
73104,Cerebellum,"",IMPC_EMA_031_001
73105,Cerebral cortex,"",IMPC_EMA_032_001
73106,Thalamus,"",IMPC_EMA_033_001
73107,Corpus striatum,"",IMPC_EMA_034_001
73108,Hippocampus,"",IMPC_EMA_035_001
73109,Hypothalamus,"",IMPC_EMA_036_001
73110,Pineal gland,"",IMPC_EMA_037_001
73111,Pons,"",IMPC_EMA_038_001
73112,Medulla oblongata,"",IMPC_EMA_039_001
73113,Lateral ventricles,"",IMPC_EMA_040_001
73114,Lateral ventricle choroid plexus,"",IMPC_EMA_041_001
73115,4th ventricle choroid plexus,"",IMPC_EMA_042_001
73116,4th Ventricle,"",IMPC_EMA_043_001
73117,Cerebral aqueduct,"",IMPC_EMA_044_001
73118,Median sulcus,"",IMPC_EMA_045_001
73119,3rd ventricle,"",IMPC_EMA_046_001
73120,Olfactory lobe,"",IMPC_EMA_047_001
73121,Trigeminal ganglion,"",IMPC_EMA_048_001
73122,Pituitary gland,"",IMPC_EMA_049_001
73123,Spinal cord cervical region,"",IMPC_EMA_050_001
73124,Dorsal root ganglion,"",IMPC_EMA_051_001
73125,Cochlea,"",IMPC_EMA_052_001
73126,Nasal septum,"",IMPC_EMA_053_001
73127,Nasal cavity,"",IMPC_EMA_054_001
73128,Nasopharynx,"",IMPC_EMA_055_001
73129,Vomeronasal organ,"",IMPC_EMA_056_001
73130,Oropharynx,"",IMPC_EMA_057_001
73131,Oral cavity,"",IMPC_EMA_058_001
73132,Optic nerve,"",IMPC_EMA_059_001
73133,Intraretinal space,"",IMPC_EMA_060_001
73134,Hyaloid cavity,"",IMPC_EMA_061_001
73135,Cornea,"",IMPC_EMA_062_001
73136,Lens,"",IMPC_EMA_063_001
73137,Eyelids,"",IMPC_EMA_064_001
73138,Temporal bone,"",IMPC_EMA_065_001
73139,Pharyngo-tympanic tube,"",IMPC_EMA_066_001
73140,Palate,"",IMPC_EMA_067_001
73141,Epiglottis,"",IMPC_EMA_068_001
73142,Tongue,"",IMPC_EMA_069_001
73143,Mandible,"",IMPC_EMA_070_001
73144,Lower jaw molar,"",IMPC_EMA_071_001
73145,Upper jaw molar,"",IMPC_EMA_072_001
73146,Sphenoid bone,"",IMPC_EMA_073_001
73147,Thyroid gland,"",IMPC_EMA_074_001
73148,Submandibular gland,"",IMPC_EMA_075_001
73149,Brown fat,"",IMPC_EMA_076_001
73150,Vertebrae,"",IMPC_EMA_077_001
73151,Esophagus,"",IMPC_EMA_078_001
73152,Clavicle,"",IMPC_EMA_079_001
73153,Scapula,"",IMPC_EMA_080_001
73154,Ulna,"",IMPC_EMA_081_001
73155,Humerus,"",IMPC_EMA_082_001
73156,Arytenoid cartilage,"",IMPC_EMA_083_001
73157,Cricoid cartilage,"",IMPC_EMA_084_001
73158,Trachea,"",IMPC_EMA_085_001
73159,Carotid artery,"",IMPC_EMA_086_001
73160,Thymus,"",IMPC_EMA_087_001
73161,Sternum,"",IMPC_EMA_088_001
73162,Rib,"",IMPC_EMA_089_001
73163,T1 rib,"",IMPC_EMA_090_001
73164,Vena cava,"",IMPC_EMA_091_001
73165,Inferior vena cava,"",IMPC_EMA_092_001
73166,Superior vena cava,"",IMPC_EMA_093_001
73167,Jugular vein,"",IMPC_EMA_094_001
73168,Ductus arteriosus,"",IMPC_EMA_095_001
73169,Pulmonary valve,"",IMPC_EMA_096_001
73170,Pulmonary trunk,"",IMPC_EMA_097_001
73171,Dorsal aorta,"",IMPC_EMA_098_001
73172,Ductus venosus,"",IMPC_EMA_099_001
73173,Aorta,"",IMPC_EMA_100_001
73174,Aortic valve,"",IMPC_EMA_101_001
73175,Heart atrium,"",IMPC_EMA_102_001
73176,Heart ventricle,"",IMPC_EMA_103_001
73177,Tricuspid valve,"",IMPC_EMA_104_001
73178,Mitral valve,"",IMPC_EMA_105_001
73179,Interventricular septum,"",IMPC_EMA_106_001
73180,Pericardial cavity,"",IMPC_EMA_107_001
73181,Pericardium,"",IMPC_EMA_108_001
73182,Main bronchus,"",IMPC_EMA_109_001
73183,Bronchus,"",IMPC_EMA_110_001
