analysis_id,gene_accession_id,gene_symbol,mouse_strain,mouse_life_stage,parameter_id,pvalue,parameter_name
005290863t275cs,MGI:2145317,Brd9,C57BL,E15.5,IMPC_FEA_106_001,0.09418692,Difference in Cue Tone and Cue Baseline % Freezing
0055l6d75798i4v,MGI:1349410,Triobp,C57BL,Early Adult,IMPC_IPG_010_001,0.09415246,Fasted blood glucose concentration
0059105wce6j2zr,MGI:1915051,Pllp,C57BL,Early Adult,IMPC_DXA_004_001,0.6276538,Bone Mineral Density (excluding skull)
00594295c7o97qx,MGI:2441675,Pgbd1,C57BL,Late Adult,ESLIM_001_001_004,0.1717622,adult mouse length
005h8z9e4n89d8g,MGI:1289225,Tmem41b,C57BL,E12.5,IMPC_EYE_026_001,0.6881603,Retinal Blood Vessels Pattern
005uz8e4ila180d,MGI:2145317,Brd9,C57BL,Middle Aged Adult,IMPC_GEL_030_001,0.06642155,Hindbrain
005w91304517dox,MGI:1915806,Uckl1,C57BL,Early Adult,IMPC_OFD_016_001,0.3334114,Center permanence time
006412ov4598879,MGI:97742,Pomc,C57BL,Late Adult,JAX_URI_005_001,0.136812,Glucose
006644jt2s92b7z,MGI:109610,Enc1,C57BL,Early Adult,ESLIM_007_001_013,0.2997569,Center average speed
0067lqy27z98984,MGI:1924127,Rab36,C57BL,Early Adult,IMPC_GEL_060_001,0.4060883,Neural tube morphology
00684l3bm40bwrl,MGI:1333114,Pigq,C57BL,E9.5,IMPC_GEL_018_001,0.1377871,Visceral yolk sac morphology
00692k68434h956,MGI:1355329,Mink1,C57BL,Early Adult,ESLIM_018_001_005,0.8075355,B cell CD19+ percentage
007781g46b6mr6u,MGI:1098713,Parp8,C57BL,Early Adult,IMPC_CSD_026_001,0.8569481,Head morphology
007c3652r7hub8a,MGI:104673,Ptpn12,C57BL,E12.5,ESLIM_016_001_006,0.3346077,Mean corpuscular hemoglobin
007ct7802zf3939,MGI:95392,Eng,C57BL,Early Adult,IMPC_DXA_004_001,0.1830788,Bone Mineral Density (excluding skull)
007f46j01yija7l,MGI:109610,Enc1,C57BL,Early Adult,JAX_PLC_002_001,0.8780904,HDL-cholesterol
007i4326aci370e,MGI:88492,Masp1,C57BL,Early Adult,ESLIM_008_001_009,0.3996286,Gait
007ll0bjseoe1c4,MGI:1913208,Carm1,C57BL,Early Adult,IMPC_CBC_014_001,0.1839956,Alkaline phosphatase
007r2muv2ps01b9,MGI:1920150,Ndufv2,C57BL,Middle Aged Adult,IMPC_EYE_014_001,0.7216264,Pupil Light Response
0084ia58mk59ej9,MGI:1915690,Dusp23,C57BL,Early Adult,HRWLLA_DXA_009_001,0.4036641,Fat/Body weight
00852z896q20376,MGI:96877,Klrb1,C57BL,Early Adult,IMPC_OFD_014_001,0.9708328,Center distance travelled
0086z6d6ycj9b47,MGI:2444807,Zfp827,C57BL,E18.5,IMPC_OFD_009_001,0.1643911,Whole arena average speed
009191400srzfv6,MGI:95392,Eng,C57BL,E9.5,IMPC_CBC_008_001,0.5118152,Total bilirubin
0093d88w4qo6a8u,MGI:109601,Nck1,C57BL,Early Adult,IMPC_CSD_021_001,0.9574089,Hindlimbs - shape
0095lzz84c7q478,MGI:2444807,Zfp827,C57BL,E18.5,HRWLLA_DXA_003_001,0.8665875,Lean mass
0098uz3921cj2fy,MGI:103022,Reln,C57BL,E18.5,JAX_OFD_020_001,0.5436721,Distance travelled - total
009e714fp9962k3,MGI:1921453,Eif4enif1,C57BL,Early Adult,IMPC_ACS_037_001,0.7469694,% Pre-pulse inhibition - Global
00aqud15b16j513,MGI:1196439,Cbx7,C57BL,Early Adult,IMPC_EYE_070_001,0.6881006,Left outer nuclear layer
00b25tdwx0m2q5o,MGI:2151110,Prelp,C57BL,Early Adult,IMPC_CBC_016_001,0.2489358,HDL-cholesterol
00b87twb3371l58,MGI:1917004,Fbxo7,C57BL,Early Adult,IMPC_ECG_002_001,0.5895322,HR
00bnzq18y2t5gh3,MGI:1915806,Uckl1,C57BL,Early Adult,IMPC_FEA_003_001,0.6718175,Conditioning Baseline % Freezing Time
00bp6908z580r7h,MGI:2684870,Pom121l2,C57BL,Early Adult,HRWLLA_FEA_003_001,0.9465258,Conditioning Baseline % Freezing Time
00btj212cbnc654,MGI:3029290,Zfp281,C57BL,E9.5,ESLIM_018_001_003,0.6703361,T cell CD3+ percentage
00c39o01q510zzu,MGI:1342774,Ppargc1a,C57BL,Early Adult,IMPC_CBC_018_001,0.4299344,Glucose
00c51o8571eue22,MGI:2181202,Pfkfb3,C57BL,Early Adult,JAXLA_CSD_015_001,0.9666311,Coat - hair texture / appearance - head
00c5y267h4ygbvq,MGI:2685530,Pou2af3,C57BL,Early Adult,ESLIM_006_001_024,0.3554862,Number of caudal vertebrae
00d9408ji53hl97,MGI:1916778,1700030J22Rik,C57BL,Early Adult,IMPC_EYE_068_001,0.2507937,Left total retinal thickness
00e338wqr1h568d,MGI:1355329,Mink1,C57BL,Early Adult,ESLIM_001_001_007,0.5792056,coat hair
00el2118x5y3e5p,MGI:2443138,Mphosph9,C57BL,Early Adult,IMPC_EYE_062_001,0.6617038,Right total retinal thickness
00fn5df233ke5jb,MGI:2142527,Exoc8,C57BL,Early Adult,IMPC_HEM_033_001,0.9751662,Monocyte differential count
00g7fmrln7pcze7,MGI:109564,Kif5a,C57BL,Early Adult,IMPC_EYE_055_001,0.2570527,Max left eye lens density
00g8prmc5f1v9k5,MGI:1918328,Adam30,C57BL,Early Adult,ESLIM_022_001_001,0.5428368,Body Weight
00gx8ao2l78a3hu,MGI:2145317,Brd9,C57BL,E12.5,IMPC_EYE_070_001,0.792159,Left outer nuclear layer
00j0fifc5495861,MGI:1916947,Camsap3,C57BL,Early Adult,ESLIM_001_001_151,0.2347571,hindlimb
00jjd7u97k9f10e,MGI:88492,Masp1,C57BL,Early Adult,ESLIM_008_001_016,0.541606,Trunk curl
00jp7ke2d0p69v5,MGI:1355329,Mink1,C57BL,Early Adult,IMPC_GEL_024_001,0.7287044,Branchial arch morphology
00kbf66vc39i7o7,MGI:1890391,Fstl3,C57BL,Early Adult,IMPC_CSD_037_001,0.592067,Unexpected behaviors
00l37tmh1596j58,MGI:104899,Mob4,C57BL,Early Adult,IMPC_XRY_017_001,0.3959355,Number of caudal vertebrae
00l8iqi168z5h84,MGI:1919304,Cyp4f18,C57BL,Early Adult,IMPC_OFD_022_001,0.5566337,Percentage center time
00lq0wryrg1wudt,MGI:1333114,Pigq,C57BL,Early Adult,IMPC_GEL_029_001,0.6435183,Midbrain
00m1f18qpg76mfj,MGI:2444069,Vwc2l,C57BL,Early Adult,IMPC_CBC_001_001,0.09268977,Sodium
00m2a234161n2gb,MGI:1098713,Parp8,C57BL,Early Adult,ESLIM_006_001_024,0.4558918,Number of caudal vertebrae
00m6101lsuo3142,MGI:2444807,Zfp827,C57BL,Early Adult,UCD_OWT_029_001,0.5182029,Body length
00m9ya95j63p183,MGI:1918829,Tcta,C57BL,Early Adult,IMPC_EYE_027_001,0.7910839,Persistence of hyaloid vascular system
00mhcpz1vpn3xj8,MGI:1355329,Mink1,C57BL,Early Adult,IMPC_DXA_005_001,0.4956736,Bone Mineral Content (excluding skull)
00mo7r88651u1bz,MGI:2145317,Brd9,C57BL,E15.5,IMPC_CBC_002_001,0.3440487,Potassium
00mub2c71r59f8v,MGI:1914727,Abhd15,C57BL,Early Adult,ESLIM_006_001_019,0.6416914,Skull shape
00n48kr5li4sz06,MGI:2444155,Nmnat2,C57BL,E9.5,IMPC_ABR_012_001,0.1802221,30kHz-evoked ABR Threshold
00ne6f9871851h5,MGI:99402,Adora2a,C57BL,Early Adult,IMPC_EYE_008_001,0.2066265,Corneal opacity
00ns4o125k6u258,MGI:1859545,Syt7,C57BL,Early Adult,IMPC_XRY_033_001,0.637814,Tibia length
00o176g3368t177,MGI:893577,Stx4a,C57BL,Early Adult,ESLIM_016_001_008,0.1979313,Platelet count
00oa0113743w6s0,MGI:109564,Kif5a,C57BL,Early Adult,IMPC_ABR_004_001,1.157699e-06,6kHz-evoked ABR Threshold
00oe89j7270l20p,MGI:1349410,Triobp,C57BL,Early Adult,IMPC_GEL_061_001,0.6167092,Optic vesicle morphology
00p739lk57pzh14,MGI:2145317,Brd9,C57BL,E12.5,ESLIM_015_001_024,0.750841,LDL-cholesterol
00q6af321v0275s,MGI:96877,Klrb1,C57BL,Late Adult,IMPC_EYE_069_001,0.11051,Left inner nuclear layer
00qe5picb5qz289,MGI:1919963,Angptl1,C57BL,Early Adult,IMPC_EYE_004_001,0.2569759,Eyelid morphology
00qwwl03v6ajxqw,MGI:1890391,Fstl3,C57BL,Early Adult,JAXLA_CSD_007_001,0.3300823,Coat - color - abdomen
00qy5m2569d5l08,MGI:2145317,Brd9,C57BL,E15.5,IMPC_GEL_028_001,0.3349453,Forebrain
00riff431vn5nu3,MGI:1916947,Camsap3,C57BL,Early Adult,IMPC_EYE_070_001,0.4969069,Left outer nuclear layer
00rte0898r26858,MGI:2146818,Oard1,C57BL,Early Adult,IMPC_EYE_014_001,0.4101942,Pupil Light Response
00s2j209i6d5m1y,MGI:1355329,Mink1,C57BL,Early Adult,IMPC_HEM_032_001,0.4290129,Lymphocyte cell count
00sg5z2uibstg93,MGI:1349162,Sdc1,C57BL,Early Adult,IMPC_ECG_010_001,0.7660301,HRV
00sno796zq163m6,MGI:1920150,Ndufv2,C57BL,Early Adult,IMPC_ECH_016_001,0.7810461,Aortic diameter (Dao)
00ucf7d3hf92s3g,MGI:1349410,Triobp,C57BL,Early Adult,IMPC_OFD_009_001,0.68429,Whole arena average speed
00v4o355h3gg7k0,MGI:1913895,Pspc1,C57BL,Early Adult,IMPC_EYE_015_001,0.566964,Iris Pigmentation
00vwh5qd68i510m,MGI:1342273,Gsto1,C57BL,Middle Aged Adult,ESLIM_015_001_012,0.8870271,Lactate dehydrogenase
00vy8b2x0ar6jgb,MGI:1333114,Pigq,C57BL,Early Adult,IMPC_OFD_009_001,0.6087074,Whole arena average speed
00w64rd4so58w56,MGI:1921058,Tex36,C57BL,Early Adult,ESLIM_008_001_016,0.6396507,Trunk curl
00w97v331436jsw,MGI:1346006,Ptpa,C57BL,Early Adult,ESLIM_006_001_012,0.5218557,Pelvis
00x18vp803781p2,MGI:3029290,Zfp281,C57BL,Early Adult,MGP_PBI_039_001,0.7270858,Neutrophil number
00x214935orzmdi,MGI:891978,Phyh,C57BL,Early Adult,ESLIM_007_001_010,0.5589477,Center distance travelled
00x281y3pkjtb00,MGI:1916778,1700030J22Rik,C57BL,Early Adult,IMPC_IPG_011_001,0.3061572,Initial response to glucose challenge
00xgi8573384sv1,MGI:1349162,Sdc1,C57BL,Early Adult,IMPC_IPG_010_001,0.9956557,Fasted blood glucose concentration
00xoa17cyb574pj,MGI:2444155,Nmnat2,C57BL,E15.5,IMPC_GEL_028_001,0.8427477,Forebrain
00zzrb908a79i3f,MGI:1924127,Rab36,C57BL,Early Adult,IMPC_IPG_010_001,0.6736471,Fasted blood glucose concentration
011439brjzx3jpe,MGI:88492,Masp1,C57BL,Early Adult,ESLIM_019_001_007,0.3360332,IgE
0114bbcv5j64ej4,MGI:1924127,Rab36,C57BL,Early Adult,ESLIM_001_001_157,0.6143676,hindlimb thickness
0118i7z1oby6r4k,MGI:104673,Ptpn12,C57BL,Early Adult,HRWLLA_HEM_003_001,0.389949,Hemoglobin
011edieb8r22kav,MGI:2442190,Camk1d,C57BL,Late Adult,CCP_LFO_010_001,0.9933162,Hp8
011k4m7054aiwu3,MGI:2146020,Mief1,C57BL,Early Adult,JAX_OFD_020_001,0.6346312,Distance travelled - total
011uh080e1o8et4,MGI:109564,Kif5a,C57BL,E12.5,IMPC_ECG_002_001,0.3988743,HR
0120102i867u27w,MGI:2145317,Brd9,C57BL,Middle Aged Adult,IMPC_FEA_107_001,0.8524803,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
0120383yf86q6r5,MGI:1925847,Fhod3,C57BL,E15.5,CCP_LFO_010_001,0.797712,Hp8
0120g7w5v30r94w,MGI:109271,Zhx1,C57BL,Early Adult,IMPC_GEL_027_001,0.06698254,Neural tube closure
0120l60soc3579p,MGI:1918925,Sanbr,C57BL,Early Adult,IMPC_OFD_009_001,0.7430243,Whole arena average speed
01267316u40i89s,MGI:2138297,Sh3bp4,C57BL,Early Adult,IMPC_ECH_016_001,0.8640667,Aortic diameter (Dao)
0129k0525at97f8,MGI:103022,Reln,C57BL,Early Adult,IMPC_GEL_024_001,0.9561167,Branchial arch morphology
012o7038ea6fbb6,MGI:103022,Reln,C57BL,Early Adult,JAX_OFD_010_001,0.5375577,Periphery distance travelled
012qb010r0svt05,MGI:99402,Adora2a,C57BL,Middle Aged Adult,IMPC_HEM_004_001,0.5218808,Hematocrit
012vj9ui832wgm6,MGI:96877,Klrb1,C57BL,Late Adult,IMPC_OFD_012_001,0.7039432,Periphery permanence time
01330m192gv00l7,MGI:2444155,Nmnat2,C57BL,Early Adult,IMPC_GPO_003_001,0.210248,Placenta Vasculature
0139h55k70a3ke1,MGI:1920150,Ndufv2,C57BL,Late Adult,JAX_OFD_010_001,0.4929949,Periphery distance travelled
013z1557e48747l,MGI:1289225,Tmem41b,C57BL,E9.5,IMPC_OFD_007_001,0.2631076,Whole arena resting time
0147p7585v42h29,MGI:2180307,Hps5,C57BL,Early Adult,HRWLLA_HEM_029_001,0.6460944,Neutrophil differential count
01484j50qz001f5,MGI:2145317,Brd9,C57BL,Early Adult,IMPC_GEL_033_001,0.8872647,Tail bud morphology
0149kekn5iyqsb8,MGI:1913895,Pspc1,C57BL,Early Adult,JAXLA_CSD_005_001,0.8532578,Coat - color - back
014f5n67xrle6xw,MGI:1355329,Mink1,C57BL,Early Adult,JAX_URI_005_001,0.1899196,Glucose
014g11i0h9f6nv8,MGI:2444807,Zfp827,C57BL,Late Adult,IMPC_GRS_011_001,0.6668288,Forelimb and hindlimb grip strength normalised against body weight
014g51222irg096,MGI:1918328,Adam30,C57BL,Early Adult,IMPC_CBC_011_001,0.06132146,Iron
014n9bg14318r08,MGI:1333114,Pigq,C57BL,Early Adult,ESLIM_006_001_019,0.451675,Skull shape
014s040j8ac2kk5,MGI:109610,Enc1,C57BL,Early Adult,IMPC_XRY_033_001,0.5681389,Tibia length
014w1a876miiwwr,MGI:1343166,Klk6,C57BL,Early Adult,IMPC_YMZ_002_001,0.2995149,Total arm entries
014y9qa35069uh1,MGI:1289225,Tmem41b,C57BL,Early Adult,JAX_URI_005_001,0.1737966,Glucose
014zljonoc6l2u7,MGI:1915806,Uckl1,C57BL,Early Adult,HRWLLA_DXA_009_001,0.1246954,Fat/Body weight
01517m7925t6w5m,MGI:1345153,Pacsin2,C57BL,Early Adult,IMPC_HEM_006_001,0.514603,Mean corpuscular hemoglobin
01541w5uk89x2a9,MGI:1913208,Carm1,C57BL,Early Adult,IMPC_OFD_014_001,0.4519245,Center distance travelled
01555ziir8wvv8p,MGI:2145317,Brd9,C57BL,Late Adult,IMPC_DXA_003_001,0.5186222,Lean mass
01594fz8g768z0s,MGI:2387603,Ahsa1,C57BL,Early Adult,HMGULA_GRS_008_001,0.8118046,Forelimb grip strength measurement mean
015n49avzgl4596,MGI:1289225,Tmem41b,C57BL,Early Adult,ESLIM_006_001_019,0.6469981,Skull shape
01640e40kpabc8m,MGI:2145317,Brd9,C57BL,E15.5,IMPC_HEM_027_001,0.6198178,Red blood cell distribution width
0164tv1006s6d0m,MGI:2441675,Pgbd1,C57BL,Late Adult,IMPC_EYE_062_001,0.8145916,Right total retinal thickness
0166j4bl2691109,MGI:109271,Zhx1,C57BL,Early Adult,IMPC_LDT_006_001,0.9424861,Latency to first transition into dark
016j336oip5n5n3,MGI:104673,Ptpn12,C57BL,Early Adult,JAX_OFD_013_001,0.1152893,Periphery average speed
0179498gf2ir3j8,MGI:99402,Adora2a,C57BL,Middle Aged Adult,IMPC_DXA_004_001,0.6271004,Bone Mineral Density (excluding skull)
0179jx80ox91i7i,MGI:109564,Kif5a,C57BL,E12.5,ESLIM_015_001_018,0.7251706,Triglycerides
017gwc8adtkg6i8,MGI:109555,Psmc2,C57BL,Early Adult,JAXLA_CSD_005_001,0.4523869,Coat - color - back
017hn80imo68jzq,MGI:891978,Phyh,C57BL,Early Adult,IMPC_CBC_014_001,0.3059207,Alkaline phosphatase
017s6v350k0721i,MGI:3648285,Gm5127,C57BL,Early Adult,IMPC_ACS_036_001,0.5427053,% Pre-pulse inhibition - PPI4
018364smhek1lhh,MGI:104673,Ptpn12,C57BL,E9.5,IMPC_ECG_004_001,0.8991741,RR
01843601865fa5k,MGI:109564,Kif5a,C57BL,E12.5,IMPC_EYE_015_001,0.7887746,Iris Pigmentation
0186j6480669121,MGI:891978,Phyh,C57BL,Early Adult,JAX_PLC_001_001,0.8482467,Total cholesterol
018803wh97f1mwz,MGI:2441675,Pgbd1,C57BL,Middle Aged Adult,JAX_PLC_001_001,0.5552355,Total cholesterol
01897n3vtw11g73,MGI:1333870,Ate1,C57BL,Early Adult,IMPC_GEL_060_001,0.1938014,Neural tube morphology
0189o296zd6dok4,MGI:104899,Mob4,C57BL,Early Adult,MGP_CSD_003_001,0.513586,Trunk curl
018wc2116xp45xo,MGI:109564,Kif5a,C57BL,Early Adult,IMPC_DXA_009_001,0.7996258,Fat/Body weight
018x40u0e7o7sua,MGI:2442190,Camk1d,C57BL,Middle Aged Adult,MGP_012_001_005,0.1658869,Body Weight
018zqij03emnos6,MGI:893577,Stx4a,C57BL,Early Adult,IMPC_OFD_010_001,0.4002238,Periphery distance travelled
0193i6knx764go7,MGI:1913887,Tsen15,C57BL,Early Adult,IMPC_GEL_042_001,0.4520157,Otic vesicle morphology
01959pknve3t4r7,MGI:3029290,Zfp281,C57BL,E9.5,IMPC_HEM_027_001,0.676929,Red blood cell distribution width
019p3pf55hm0qb3,MGI:1920150,Ndufv2,C57BL,Early Adult,IMPC_OFD_013_001,0.3172484,Periphery average speed
01a4l0k6hz8y128,MGI:1347075,Nbea,C57BL,E18.5,MGP_026_001_004,0.7194011,Coat colouration
01a57283awzp5j6,MGI:2442855,Rab39,C57BL,Early Adult,MGP_CSD_008_001,0.3402922,Startle response
01a83obfnp43j2f,MGI:104899,Mob4,C57BL,E9.5,IMPC_CSD_005_001,0.5478568,Coat - color - back
01axdqy3q086m2d,MGI:1890391,Fstl3,C57BL,Early Adult,IMPC_CSD_033_001,0.9841757,Gait
01cg9sf2p1y4s3f,MGI:2146818,Oard1,C57BL,Early Adult,IMPC_EYE_092_001,0.8978443,Retina (combined)
01d15lu6781lj91,MGI:103022,Reln,C57BL,Early Adult,HRWLLA_HEM_029_001,0.5519898,Neutrophil differential count
01di01k8a64324u,MGI:1342774,Ppargc1a,C57BL,Early Adult,ESLIM_005_001_006,0.3619324,Body length
01dq8591r37er72,MGI:3648285,Gm5127,C57BL,Early Adult,IMPC_GEL_060_001,0.1211471,Neural tube morphology
01dr12182qjkl9p,MGI:1890391,Fstl3,C57BL,Early Adult,IMPC_EYE_015_001,0.9044643,Iris Pigmentation
01e57248ftr3574,MGI:2145317,Brd9,C57BL,Early Adult,IMPC_DXA_009_001,0.3396102,Fat/Body weight
01e872oe0868h6x,MGI:1919822,Spats2,C57BL,Early Adult,JAX_URI_005_001,0.9145983,Glucose
01f46461h6x469z,MGI:97742,Pomc,C57BL,Late Adult,IMPC_CSD_030_001,0.6394849,Tremor
01g0x5tr9uvj2qp,MGI:99402,Adora2a,C57BL,Late Adult,JAXLA_CSD_015_001,0.6006142,Coat - hair texture / appearance - head
01hw964tnsi5232,MGI:2181202,Pfkfb3,C57BL,Early Adult,IMPC_ECH_016_001,0.760744,Aortic diameter (Dao)
01i34fe90gime06,MGI:1915051,Pllp,C57BL,Early Adult,TCPLA_DXA_007_001,0.6996458,BMC/Body weight
01ifd4e137423a5,MGI:1920150,Ndufv2,C57BL,Early Adult,IMPC_CBC_016_001,0.4711539,HDL-cholesterol
01j5yk01nz83603,MGI:1916947,Camsap3,C57BL,Early Adult,IMPC_HEM_027_001,0.538722,Red blood cell distribution width
01k0lqjci3eb41m,MGI:2444807,Zfp827,C57BL,Late Adult,IMPC_CSD_033_001,0.5239175,Gait
01kl001e4z1gups,MGI:1202401,Fgf17,C57BL,Early Adult,IMPC_XRY_067_001,0.4583659,Caudal processes
01l01a40twt3k2o,MGI:109271,Zhx1,C57BL,Early Adult,IMPC_CSD_072_001,0.985227,Genitalia - size
01l326qi0691g0i,MGI:2385261,Cnot3,C57BL,Early Adult,IMPC_EYE_015_001,0.8742763,Iris Pigmentation
01l6o26s6t4uxni,MGI:95392,Eng,C57BL,Early Adult,IMPC_EYE_014_001,0.3732877,Pupil Light Response
01ldrrxflkns60p,MGI:1919963,Angptl1,C57BL,Early Adult,JAXLA_CSD_009_001,0.2029943,Coat - color pattern - head
01lqn2s3o8x8xev,MGI:1346006,Ptpa,C57BL,Early Adult,IMPC_HEM_032_001,0.3946681,Lymphocyte cell count
01m7529o5wo0d39,MGI:2444807,Zfp827,C57BL,Late Adult,IMPC_EYE_024_001,0.5046531,Retinal Blood Vessels
01nefl57723esb9,MGI:2444155,Nmnat2,C57BL,E15.5,IMPC_GEL_036_002,0.7227943,Pallor
01o2k6lk1j90n48,MGI:1925847,Fhod3,C57BL,E9.5,ESLIM_008_001_009,0.3295001,Gait
01o40ipy5e03c38,MGI:2145317,Brd9,C57BL,E15.5,HRWLLA_DXA_003_001,0.3786933,Lean mass
01o71wi64iw7r04,MGI:2443138,Mphosph9,C57BL,Early Adult,ESLIM_016_001_005,0.6677779,Mean cell volume
01o7222bm3zj9pn,MGI:1919963,Angptl1,C57BL,Early Adult,JAX_PLC_002_001,0.6307302,HDL-cholesterol
01ohgyja3379su0,MGI:2145317,Brd9,C57BL,E15.5,IMPC_GEL_030_001,0.8869179,Hindbrain
01p21wnuei26eoh,MGI:95392,Eng,C57BL,Early Adult,IMPC_EYE_017_001,0.4775748,Lens Opacity
01rnqm9c49a09wx,MGI:2142527,Exoc8,C57BL,E12.5,ESLIM_016_001_005,0.9562973,Mean cell volume
01sau0eo069ucnl,MGI:2142527,Exoc8,C57BL,E9.5,IMPC_ACS_037_001,0.6363398,% Pre-pulse inhibition - Global
01t7s4cf215t856,MGI:1100520,Twf1,C57BL,Early Adult,ESLIM_016_001_005,0.9956923,Mean cell volume
01tdbtf20qv8nft,MGI:3030482,Or52h1,C57BL,Early Adult,IMPC_GEP_004_002,0.6275577,Spontaneous movement
01tlfvs816c3fb6,MGI:2146818,Oard1,C58BL,Early Adult,HRWLLA_HEM_029_001,0.919677,Neutrophil differential count
01vrgvmrdm965bn,MGI:1202401,Fgf17,C57BL,Early Adult,IMPC_CSD_018_001,0.3251888,Forelimbs - shape
01w017s0237b649,MGI:2137677,Sfxn1,C57BL,Early Adult,IMPC_CSD_018_001,0.1427221,Forelimbs - shape
01w4hemf4c62295,MGI:107417,Slc50a1,C57BL,Early Adult,HRWLLA_DXA_009_001,0.413829,Fat/Body weight
01w7t5b1kq7q84w,MGI:1343166,Klk6,C57BL,Early Adult,IMPC_EYE_083_001,0.8360072,Vitreous
01x82m4hx175hdu,MGI:107417,Slc50a1,C57BL,Early Adult,IMPC_EYE_067_001,0.9800649,Left anterior chamber depth
